event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
BEN892,28 December 2022,2022,1,Strategic developments,Strategic developments,Other,Civilians (Benin),Refugees/IDPs (Benin),7,NA,NA,0,70,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Mamassi-Gourma,12.0455,3.1338,2,Undisclosed Source,Local partner-Other,"Displacement: On 28 December 2022, inhabitants of Kofounou and Gorou, coded to Mamassi-Gourma (Karimama, Alibori) left their village. The reason for their displacement is not known but it is suspected that an unidentified armed group asked civilians to leave.",0,NA,1675102875
BEN876,27 December 2022,2022,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Benin),NA,3,Civilians (Benin),NA,7,37,Civilian targeting,204,Western Africa,Benin,Alibori,Malanville,NA,Noma Tounga,11.9065,3.2752,1,Undisclosed Source,Local partner-Other,"On 27 December 2022, unidentified armed group slit the throat of a civilian in Noma Tounga (Malanville, Alibori). It is not confirmed if he died of his injuries.",0,NA,1675102875
BEN883,27 December 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,Unidentified Armed Group (Benin),NA,3,NA,NA,0,30,NA,204,Western Africa,Benin,Alibori,Banikoara,NA,Mekrou,11.3597,2.2053,2,Undisclosed Source,Local partner-Other,"Movement of forces: On 27 December 2022, many members of an unidentified armed group were seen in Kofoni, coded to Mekrou (Banikoara, Alibori)",0,NA,1675102875
BEN893,23 December 2022,2022,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Benin),NA,3,Civilians (Benin),NA,7,37,Civilian targeting,204,Western Africa,Benin,Alibori,Karimama,NA,Karimama,12.0684,3.1844,2,Undisclosed Source,Local partner-Other,"On 23 December 2022, a home-made explosive planted by an unidentified armed group exploded on two young children in Kofounou, coded to Karimama (Karimama, Alibori) while they were on their way to the fields. The children were seriously injured and taken to the Karimama health center for treatment.",0,NA,1675102875
BEN880,22 December 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,Unidentified Armed Group (Benin),NA,3,NA,NA,0,30,NA,204,Western Africa,Benin,Alibori,Malanville,NA,Issene,11.7347,3.1909,2,Undisclosed Source,Local partner-Other,"Movement of forces: On 22 December 2022, many members of unidentified armed group were seen between Barama Gadji and Issene (Malanville, Alibori). The populations suspect that the armed group planned to attack the FAB base in Boiffo.",0,NA,1675102875
BEN862,20 December 2022,2022,1,Strategic developments,Strategic developments,Arrests,Police Forces of Benin (2016-),NA,1,Civilians (Benin),Journalists (Benin),7,17,NA,204,Western Africa,Benin,Littoral,Cotonou,NA,Cotonou,6.3557,2.4353,2,24h au Benin; Acotonou; Banouto; Benin Web TV; Frissons Radio; L'investigateur,National,"On 20 December 2022, police arrested the journalist Virgile Ahouanse, director of the Crystal News radio, after an investigation into police misconduct at a school in Cotonou (Cotonou, Littoral).",0,NA,1673311012
BEN881,19 December 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,Unidentified Armed Group (Benin),NA,3,NA,NA,0,30,NA,204,Western Africa,Benin,Alibori,Kandi,NA,Kandi,11.1342,2.9386,2,Undisclosed Source,Local partner-Other,"Movement of forces: On 19 December 2022, many members of unidentified armed on 40 motorbikes were observed in Park W near Pond 25, coded to Kandi (Kandi, Alibori)",0,NA,1675102875
BEN888,19 December 2022,2022,1,Political violence,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),5,Civilians (Benin),NA,7,57,Civilian targeting,204,Western Africa,Benin,Donga,Copargo,NA,Taneka Beri,9.8506,1.501,1,Undisclosed Source,Local partner-Other,"On 19 December 2022, a mob burnt down the Kpandolou neighborhood of Taneka Beri (Donga, Copargo). At least 1 was injured. Casualties unknown. The fire started in the house of the Fetishist priest. It is suspected that the fire was started by persons wanting to avenge the Fetishist Chief.",0,crowd size=no report,1675102875
BEN889,18 December 2022,2022,2,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Benin),NA,3,Civilians (Benin),Pastoralists (Benin),7,37,Civilian targeting,204,Western Africa,Benin,Borgou,Kalale,NA,Kalale,10.288,3.3792,2,Undisclosed Source,Local partner-Other,"Around 18 December 2022, an unidentified armed group abducted 2 civilians from Yola, coded to Kalale (Kalale, Borgou). The victims were two wealthy herdsmen and they were taken to an unknown location.",0,NA,1675102875
BEN861,17 December 2022,2022,1,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Benin),NA,3,Civilians (Benin),Labor Group (Benin),7,37,Civilian targeting,204,Western Africa,Benin,Borgou,Kalale,NA,Kalale,10.288,3.3792,1,Benin Web TV,National,"On 17 December 2022, overnight, an unidentified armed group kidnapped a cattle seller in Kalale (Kalale, Borgou). The reasons for the kidnapping are not known.",0,NA,1673311012
BEN890,17 December 2022,2022,1,Political violence,Riots,Mob violence,Rioters (Benin),Farmers (Benin),5,Rioters (Benin),Pastoralists (Benin),5,55,NA,204,Western Africa,Benin,Alibori,Malanville,NA,Guene,11.8085,3.2276,1,Undisclosed Source,Local partner-Other,"On 17 December 2022, farmers from Issene and herders from Gah-Beri clashed in Guene (Malanville, Alibori) for an unspecified reason. The police intervened and arrested a herder.",0,crowd size=no report,1675102875
BEN871,16 December 2022,2022,1,Political violence,Violence against civilians,Attack,Military Forces of Benin (2016-),NA,1,Civilians (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),7,17,Civilian targeting,204,Western Africa,Benin,Alibori,Malanville,NA,Guene,11.8085,3.2276,2,Undisclosed Source,Local partner-Other,"On 16 December 2022, the FAB raided a Fulani camp around Guene (Malanville, Alibori) in search for militants. The camp was destroyed and the military shot about 10 civilians, burnt huts and animals killed. Casualties unknown.",0,NA,1675102875
BEN882,16 December 2022,2022,1,Strategic developments,Strategic developments,Change to group/activity,Unidentified Armed Group (Benin),NA,3,NA,NA,0,30,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Kompa,12.2059,3.0347,1,Undisclosed Source,Local partner-Other,"Movement of forces: On 16 December 2022, an unidentified armed group were seen moving in Kompa (Karimama, Alibori). They had crossed the Alibori river through Koulou.",0,NA,1675102875
BEN860,16 December 2022,2022,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Benin),NA,3,Police Forces of Benin (2016-),NA,1,13,NA,204,Western Africa,Benin,Alibori,Karimama,NA,Karimama,12.0684,3.1844,1,Banouto; L'investigateur,National,"On 16 December 2022, overnight, an unidentified armed group or a other policeman (sources are not clear) shot and killed a policeman who had walked away from the police station intrigued by flashlights in Karimama (Karimama, Alibori).",1,NA,1675706204
BEN859,07 December 2022,2022,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Benin),NA,3,Civilians (Benin),Women (Benin),7,37,Civilian targeting,204,Western Africa,Benin,Borgou,Parakou,NA,Parakou,9.35,2.6167,1,Undisclosed Source,Local partner-Other,"Around 7 December 2022 (week of), an unidentified armed group is suspected to have killed a 40-year-old woman found early morning in her residence in the district of Boundarou in Parakou (Parakou, Borgou). Her door was found wide open and leads point to an assassination. Police forces are conducting an investigation.",1,NA,1673311012
