admin2Pcod,fatalities,events
BJ0104,25,61
BJ0105,35,41
BJ0101,23,18
BJ0800,8,94
BJ0103,4,23
BJ0703,3,6
BJ0402,8,31
BJ0405,11,43
BJ0301,6,17
BJ1009,3,7
BJ0205,62,59
BJ0202,19,12
BJ1103,34,18
BJ0106,3,12
BJ0304,1,6
BJ0403,6,15
BJ1008,3,18
BJ0102,2,5
BJ0702,13,19
BJ0506,5,13
BJ0209,6,14
BJ0501,16,19
BJ0204,5,7
BJ0704,11,12
BJ0306,4,2
NA,0,2
BJ0208,25,26
BJ0404,10,24
BJ0408,16,40
BJ0401,6,11
BJ0201,0,3
BJ1203,2,7
BJ0605,1,3
BJ1205,0,2
BJ0504,7,11
BJ0206,1,11
BJ0701,2,8
BJ0302,1,2
BJ1201,4,3
BJ0904,0,1
BJ1102,0,3
BJ1207,2,2
BJ0505,10,6
BJ0502,6,4
BJ1208,0,2
BJ0906,1,6
BJ0603,2,4
BJ0905,0,1
BJ0203,12,9
BJ0902,1,2
BJ1004,0,5
BJ0406,1,2
BJ1101,0,1
BJ0601,1,7
BJ0407,0,4
BJ1005,1,1
BJ0602,1,2
BJ1206,2,1
BJ0604,0,1
BJ1104,2,7
BJ0503,1,1
BJ1002,1,2
BJ0606,0,1
BJ0307,0,1
BJ1007,4,1
BJ0207,1,1
BJ1006,1,1
BJ1202,7,4
BJ0308,0,1
BJ1204,0,1
BJ1209,0,1
