id,total_area,total_buildings,total_area_adm2,total_buildings_adm2
NA,794553522.1952946,8633959,794553522.1952946,8633959
10674,2781744.080400005,30047,14955396.110499894,197774
10675,2781744.080400005,30047,18037253.23220054,316708
10676,2781744.080400005,30047,17336953.5536999,195571
3854,382132.0254000009,5608,4661382.755300033,74915
5408,1066436.9549000051,14221,11882566.212799901,157239
926,9279.5384,286,2334409.3442000058,50307
2728,18275.88740000001,326,1983576.5136000086,32795
10680,539701.8879999984,6249,21566008.307099942,244723
13865,25325.353499999997,360,5228787.03699996,102951
936,37723.93240000002,1041,2334409.3442000058,50307
9361,88375.63239999991,1434,1568223.052299989,22862
4698,600017.1874999988,9324,4709504.632400045,92056
10810,1342457.8094000053,15012,13275166.61959999,165410
2388,285766.73700000026,3101,9890180.899499815,179876
7615,409352.4567999998,5899,7614076.459100063,127972
7616,409352.4567999998,5899,47215055.56479972,619190
10415,1379746.3127000034,14874,2978474.550700016,40274
10416,1379746.3127000034,14874,17336953.5536999,195571
7623,1544866.240900009,19985,47215055.56479972,619190
9202,88784.44970000024,1294,2677898.4160999767,49925
6126,17847.6767,431,4709504.632400045,92056
6127,17847.6767,431,2989647.977599972,43949
6128,17847.6767,431,5404839.839799935,120468
6129,17847.6767,431,4657818.107100053,85818
2472,139172.83379999993,2501,5404839.839799935,120468
7121,2285.3258,65,2989647.977599972,43949
7122,2285.3258,65,6059515.727200074,101426
6867,30887.106299999992,639,6059515.727200074,101426
7864,862629.1364000015,10023,47215055.56479972,619190
6184,273193.0430999995,4522,11968283.436900381,179184
4314,215601.9852000002,2953,4592660.714699992,61780
10422,438054.3438000011,5537,21566008.307099942,244723
7388,686791.449100002,10775,47215055.56479972,619190
930,283781.0977999996,4725,2334409.3442000058,50307
10292,1123719.4130000079,15909,13275166.61959999,165410
6913,583042.6893999979,7914,11968283.436900381,179184
6914,583042.6893999979,7914,47215055.56479972,619190
1829,86677.81090000001,1349,9890180.899499815,179876
8003,104332.97810000027,1533,3234132.847500009,52632
12820,1951.8013999999996,74,2393371.7551000016,41959
4511,182131.35279999976,3178,3490572.386799999,74863
7617,786319.560300001,9579,7614076.459100063,127972
7618,786319.560300001,9579,47215055.56479972,619190
7621,891339.3793000011,13216,47215055.56479972,619190
7619,249980.00939999995,3540,47215055.56479972,619190
10934,1622977.9301000042,18278,18037253.23220054,316708
10935,1622977.9301000042,18278,17336953.5536999,195571
5703,1651458.0094999971,22551,11968283.436900381,179184
453,9844.049600000008,489,1939233.2433999968,69280
8317,41129.390799999965,560,3142890.832699973,44808
9908,505280.050900001,6473,5258094.3257999765,83965
2621,455828.33150000044,5061,4211450.142600003,85861
10931,2075576.373899989,23597,14955396.110499894,197774
10932,2075576.373899989,23597,18037253.23220054,316708
10933,2075576.373899989,23597,17336953.5536999,195571
5663,85629.10840000024,1311,4780709.333399998,78805
8063,279106.0286999996,3434,2989647.977599972,43949
8064,279106.0286999996,3434,3142890.832699973,44808
5622,191107.21359999973,2712,4709504.632400045,92056
5623,191107.21359999973,2712,4657818.107100053,85818
5403,298651.6968000001,5363,11882566.212799901,157239
5404,298651.6968000001,5363,5404839.839799935,120468
5932,162993.95310000004,2549,4496622.037400065,77870
12830,1044.0146999999997,68,2393371.7551000016,41959
1379,22391.294100000017,719,2087560.6372999835,49791
9317,801889.9627000012,7680,2973187.7172000166,44655
5050,63218.3839,993,1769334.0413999925,38144
2183,400471.2367999988,4487,9890180.899499815,179876
713,8374.5596,359,2029721.9122000062,60235
10291,317616.3880000004,3994,13275166.61959999,165410
4734,248969.68729999952,4430,4304857.690400043,67425
6765,2997.7761000000014,89,6063750.6400000695,130010
2610,11398.146899999998,389,4211450.142600003,85861
9394,2174903.3667999837,23474,24861718.021100167,252246
9395,2174903.3667999837,23474,21566008.307099942,244723
13961,14225.638399999994,328,3477111.754199985,85601
11419,453761.7445999996,4788,10500202.931499997,127209
11533,239926.2057000001,3596,4633411.748299901,88044
9626,318824.67679999914,4740,2035082.3115999976,32393
9627,318824.67679999914,4740,5692150.617499987,76981
5172,879382.8284000009,10260,7142691.807499982,106026
5173,879382.8284000009,10260,11882566.212799901,157239
12271,35424.09639999998,635,5228787.03699996,102951
10939,394210.2803999995,5474,18037253.23220054,316708
10940,394210.2803999995,5474,21566008.307099942,244723
11178,346636.06860000076,5338,14955396.110499894,197774
11179,346636.06860000076,5338,10500202.931499997,127209
982,857492.5275000024,13351,3877497.768100021,79572
5169,236053.91519999973,4330,7142691.807499982,106026
5170,236053.91519999973,4330,11882566.212799901,157239
5171,236053.91519999973,4330,5404839.839799935,120468
10076,5301.506100000002,75,3234132.847500009,52632
10618,10902.724099999996,220,5580689.679099988,66088
