id,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9,distance10
1,1211980.7534079954,1211980.6825233905,1211980.576970859,1211977.8013261866,1211977.6437340635,1211980.0299548886,1211980.8259910215,1211975.980069194,1211980.636083848,1211977.1243917414
2,1209049.5944340797,1209049.5236044154,1209049.4179163298,1209046.6425901267,1209046.4855372487,1209048.8712671844,1209049.6672015085,1209044.8213761488,1209049.4775150472,1209045.9664092488
3,1197328.368694408,1197328.2980873976,1197328.1918507623,1197325.4178219293,1197325.2629528756,1197327.6466884294,1197328.4422082682,1197323.5967873028,1197328.253416,1197324.7446941345
4,1194398.9273480668,1194398.8567974535,1194398.7504220756,1194395.976723573,1194395.822407284,1194398.2056364003,1194399.0010507705,1194394.1557356531,1194398.812484929,1194395.3043688987
5,1191469.8371423476,1191469.76664843,1191469.6601336587,1191466.8867679276,1191466.7330071672,1191469.115726653,1191469.9110348017,1191465.065827481,1191469.7226965562,1191466.2151903738
6,1188541.1006733475,1188541.0302364256,1188540.9235816055,1188538.150551112,1188537.9973486639,1188540.3795552982,1188541.1747564652,1188536.3296589144,1188540.9866469933,1188537.4797547085
7,1185612.7205624997,1185612.6501828765,1185612.5433873478,1185609.7706945813,1185609.6180532498,1185611.9997437831,1185612.7948372008,1185607.9498514184,1185612.6069576896,1185609.100683389
8,1182684.6994568808,1182684.629134861,1182684.5221979595,1182681.749845434,1182681.5977680436,1182683.9789391977,1182684.7739240911,1182679.9290521012,1182684.5862757359,1182681.0806235443
9,1179757.0400295192,1179756.9697654105,1179756.8626864671,1179754.0906767212,1179753.939166118,1179756.3198145847,1179757.1146901716,1179752.2699340244,1179756.9272741773,1179753.422248257
10,1176829.7449797112,1176829.6747738237,1176829.5675521651,1176826.7958877624,1176826.6449468131,1176829.0250692547,1176829.819834745,1176824.9751965173,1176829.632652326,1176826.1282568783
11,1173902.8170333405,1173902.7468859863,1173902.6395209339,1173899.8682044637,1173899.7178360564,1173902.0974291053,1173902.8920837014,1173898.047565496,1173902.705136081,1173899.2013753457
12,1218482.747972499,1218482.6772292927,1218482.57132805,1218479.79650434,1218479.6402997356,1218482.025256201,1218482.8210299392,1218477.9753590478,1218482.6316907473,1218479.1215091357
