id,no2,no2_adm2
8106,5.283542579785936e-5,5.316630104707376e-5
8108,5.220857267990152e-5,5.316630104707376e-5
8110,5.116954501147597e-5,5.316630104707376e-5
8354,5.4357237103011176e-5,5.316630104707376e-5
8355,5.3511904806450456e-5,5.316630104707376e-5
8356,5.1819241651923156e-5,5.316630104707376e-5
8623,5.5376463193443426e-5,5.316630104707376e-5
8624,5.434337616069476e-5,5.316630104707376e-5
8625,5.216977217539836e-5,5.316630104707376e-5
8876,5.5772641282207614e-5,5.316630104707376e-5
8878,5.4425201401783476e-5,5.316630104707376e-5
8880,5.205820527929502e-5,5.316630104707376e-5
9129,5.33493279972758e-5,5.316630104707376e-5
9131,5.1407713630689844e-5,5.316630104707376e-5
9394,5.268988753469642e-5,5.316630104707376e-5
10675,5.169749713394444e-5,5.099702646052713e-5
10930,5.14882399747201e-5,5.099702646052713e-5
10932,5.078967734911225e-5,5.099702646052713e-5
10934,5.0017330105191024e-5,5.099702646052713e-5
10936,4.9356473957872914e-5,5.099702646052713e-5
10939,4.9041616637250186e-5,5.099702646052713e-5
11182,5.135757454396792e-5,5.099702646052713e-5
11184,5.07368561360131e-5,5.099702646052713e-5
11185,4.9737306749506704e-5,5.099702646052713e-5
11186,4.944193791346494e-5,5.099702646052713e-5
11187,4.927584908060185e-5,5.099702646052713e-5
11428,5.065281587974012e-5,5.099702646052713e-5
11429,4.9604740137423024e-5,5.099702646052713e-5
11430,4.919998854902143e-5,5.099702646052713e-5
11431,4.9196641978826213e-05,5.099702646052713e-5
9676,5.2816436532965995e-5,5.099702646052713e-5
9678,5.213501720177804e-5,5.099702646052713e-5
9680,5.155318607255854e-5,5.099702646052713e-5
9681,5.167783622638178e-5,5.099702646052713e-5
9682,5.163848016936776e-5,5.099702646052713e-5
9683,5.125823453168173e-5,5.099702646052713e-5
9684,5.132820377142927e-5,5.099702646052713e-5
9685,5.121401120999061e-5,5.099702646052713e-5
9686,5.1044029364731134e-5,5.099702646052713e-5
9687,5.0928337033185944e-5,5.099702646052713e-5
9688,5.0811301460301084e-5,5.099702646052713e-5
9689,5.0794364783862495e-5,5.099702646052713e-5
9690,5.054619492448646e-5,5.099702646052713e-5
9691,5.002323349049395e-5,5.099702646052713e-5
9692,5.022842502990388e-5,5.099702646052713e-5
9693,5.039488043139502e-5,5.099702646052713e-5
9694,5.0308078877499645e-5,5.099702646052713e-5
9695,5.0113567498643326e-5,5.099702646052713e-5
9696,5.004882812544519e-5,5.099702646052713e-5
9697,4.994499362762451e-5,5.099702646052713e-5
9698,4.992392278648333e-5,5.099702646052713e-5
9700,4.9753259667329213e-5,5.099702646052713e-5
9702,5.0145062292273894e-5,5.099702646052713e-5
9704,5.020751483682312e-5,5.099702646052713e-5
9945,5.257519345824089e-5,5.099702646052713e-5
9947,5.236092441355311e-5,5.099702646052713e-5
9949,5.2348182741176135e-5,5.099702646052713e-5
9950,5.186524482873451e-5,5.099702646052713e-5
9951,5.135570791125414e-5,5.099702646052713e-5
9952,5.1374005508164034e-5,5.099702646052713e-5
9953,5.143879692297248e-5,5.099702646052713e-5
9954,5.115022581205716e-5,5.099702646052713e-5
9955,5.0968024988470796e-5,5.099702646052713e-5
9956,5.092542272606036e-5,5.099702646052713e-5
9957,5.070280770139257e-5,5.099702646052713e-5
9958,5.0312747601616974e-5,5.099702646052713e-5
9959,5.013598338820218e-5,5.099702646052713e-5
9960,5.01875831471598e-5,5.099702646052713e-5
9961,5.044460579927902e-5,5.099702646052713e-5
9962,5.034073205607493e-5,5.099702646052713e-5
9963,5.003086063690196e-5,5.099702646052713e-5
9964,4.9781805442807255e-5,5.099702646052713e-5
9965,4.996098244542532e-5,5.099702646052713e-5
9967,4.995858488560711e-5,5.099702646052713e-5
10202,5.272249028398511e-5,5.099702646052713e-5
10204,5.269946871388528e-5,5.099702646052713e-5
10205,5.224433059817552e-5,5.099702646052713e-5
10206,5.1737225635248945e-5,5.099702646052713e-5
10207,5.1676932150607914e-5,5.099702646052713e-5
10208,5.156018032442709e-5,5.099702646052713e-5
10209,5.1440575251523115e-5,5.099702646052713e-5
10210,5.1352294092230046e-5,5.099702646052713e-5
10211,5.107584752264922e-5,5.099702646052713e-5
10212,5.0780162632228856e-5,5.099702646052713e-5
10213,5.023531855556026e-5,5.099702646052713e-5
10214,5.003506477955094e-5,5.099702646052713e-5
10215,5.007766421130175e-5,5.099702646052713e-5
10216,5.045204410550836e-5,5.099702646052713e-5
10217,5.04098080308405e-5,5.099702646052713e-5
10218,5.017799817182187e-5,5.099702646052713e-5
10219,4.9907291896604417e-5,5.099702646052713e-5
10221,5.005625507727734e-5,5.099702646052713e-5
10448,5.34178990603091e-5,5.099702646052713e-5
10450,5.3415091708128e-5,5.099702646052713e-5
10452,5.2974330897325184e-5,5.099702646052713e-5
10454,5.277685297241792e-5,5.099702646052713e-5
10456,5.230917813545561e-5,5.099702646052713e-5
10458,5.1911184530680224e-5,5.099702646052713e-5
10459,5.159704338077975e-5,5.099702646052713e-5
10460,5.181010978948655e-5,5.099702646052713e-5
10461,5.140586572424234e-5,5.099702646052713e-5
10462,5.090486064095551e-5,5.099702646052713e-5
10463,5.0664405358336275e-5,5.099702646052713e-5
