admin2Pcod,river_length_s7,river_length_s6,river_length_s5,river_length_s4,river_length_s3,river_length_s2,river_length_s1
BJ0101,0,0,0,0,139246.78738425413,44678.59287100779,109521.80408785185
BJ0102,0,0,0,0,81281.22341860054,155190.43584217562,154932.93837435203
BJ0103,0,0,0,6549.6149372055215,84223.81296571664,12943.910670609603,101100.00325703136
BJ0104,36433.49877023269,0,0,28594.158997806815,101653.85918532233,148467.32643946502,122341.17968640858
BJ0105,16778.054792254774,0,0,94533.90814594112,35643.93899765989,17139.54089225755,105548.08747813958
BJ0106,0,0,0,79753.92506684116,51730.22038982123,52587.63094431463,148871.4957369482
BJ0202,0,0,0,0,110289.06826022107,27631.2152636482,90118.49901150269
BJ0203,0,0,0,0,0,2508.7785108083353,30761.073880755263
BJ0204,0,0,0,0,6294.796233089107,74644.78819917445,137303.1945050283
BJ0205,0,0,0,52328.39955030302,0,33422.09828523654,54970.739758197145
BJ0206,0,0,0,0,10717.250422550871,39174.74102528169,54223.9571887224
BJ0207,0,0,0,0,3447.878458591074,20936.238970390987,83760.15215025195
BJ0208,0,0,0,71303.2300754283,22805.802945916108,207764.0611724874,170511.75192388802
BJ0302,0,0,0,0,0,7991.035706215844,14069.31223246443
BJ0303,0,0,0,0,0,29245.55589120655,3540.9831521279903
BJ0304,0,0,0,0,0,5381.819228646658,32621.713141913824
BJ0306,0,0,0,0,0,5483.297132440885,0
BJ0308,0,0,0,0,0,16992.764384004473,18941.87276263617
BJ0401,0,0,0,0,0,83299.94408373118,86891.74232065667
BJ0402,0,0,0,0,11847.085590049133,99327.98664817786,140469.0222247024
BJ0404,0,0,0,0,0,74054.31021688209,126420.64030790846
BJ0405,0,0,0,0,0,6908.211612019496,5371.538067845341
BJ0406,0,0,0,0,0,66045.62640174825,62029.92710525422
BJ0407,0,0,0,0,0,35751.192396616236,83469.1590234028
BJ0408,0,0,0,77455.4146227129,157890.86901302528,107586.33941224971,268068.08881153195
BJ0501,0,0,0,0,0,65703.39212206528,99750.6981169816
BJ0503,0,0,0,11666.727647120217,0,3305.784591218946,36390.70194222711
BJ0504,0,0,0,74793.06515458108,12209.998147316259,60904.11437538323,86902.22957814789
BJ0505,0,0,0,0,60731.96202163535,106618.11093086188,88269.91318699863
BJ0506,0,0,0,54982.304001588825,45688.72194894587,2874.314728933415,51456.26997249432
BJ0601,0,0,0,10595.791332608027,0,369.9565436810386,9059.115659496103
BJ0604,0,0,0,0,0,0,6684.289098638969
BJ0605,0,0,0,0,0,26900.45120180041,7841.120404743882
BJ0606,0,0,0,0,0,0,6115.722817614541
BJ0701,0,0,0,12408.086237617332,28374.822359761492,115269.54499255714,265227.2897486469
BJ0702,0,0,0,0,1624.3580514176706,89954.2813284405,142564.4821647898
BJ0704,0,0,0,0,0,0,38182.588220401376
BJ0800,0,0,44.716833129583144,0,0,232.0507921104286,0
BJ0901,0,0,0,28837.866080081927,0,0,14014.569655960762
BJ0902,0,0,0,0,0,5928.60984885795,11041.549362750051
BJ0903,0,0,0,0,0,2387.258733133688,8747.36774660199
BJ0905,0,0,0,0,0,0,8283.385078088504
BJ0906,0,0,0,2952.2896334564534,0,0,23750.32472910805
BJ1002,0,0,20525.829929249903,0,0,23348.06607969854,11018.436237812808
BJ1005,0,0,0,0,0,0,13156.531581819465
BJ1006,0,0,23225.018843111608,0,0,6274.5165714217155,6589.81544974508
BJ1007,0,0,12705.300161091891,0,1226.1917114937119,1240.7461563527631,0
BJ1102,0,0,0,0,0,8577.679366454338,16809.151254866712
BJ1103,0,0,0,46547.56311946697,0,8683.100401227946,71977.9348932046
BJ1104,0,0,0,0,0,219.58453504421553,19776.097868494955
BJ1105,0,0,0,0,0,0,9849.776743010798
BJ1201,0,0,0,0,0,0,0
BJ1202,0,0,0,0,0,20959.322195549023,547.1158801255744
BJ1203,0,0,0,0,0,0,225.63742668659816
BJ1204,0,0,0,40910.876665912816,0,0,152.72400266216943
BJ1205,0,0,0,13628.954972221809,516.8073551914516,30679.170255451172,95777.93740329715
BJ1206,0,0,5598.045904251512,24432.811388132577,0,11529.169714525226,19749.127104768206
BJ1209,0,0,0,1017.4349651812902,0,37038.451762581775,34174.86287698083
BJ1003,0,0,13087.416042693227,0,4344.431998213026,0,315.2474665106561
BJ0201,0,0,0,0,7745.704812974756,37285.81338695602,17190.734749738924
BJ0209,0,0,0,0,0,13429.958343737402,61153.20812816864
BJ0301,0,0,0,0,6272.307902688401,15108.973478052336,26816.6660165515
BJ0305,0,0,0,0,11475.207392309276,0,196.5848563954641
BJ0307,0,0,0,0,0,0,20053.964349581987
BJ0403,0,0,0,0,40884.41737249416,159915.03807231368,124477.4659840248
BJ0502,0,0,0,1465.3387431259066,20302.16930023525,14275.802225204336,69807.53721722256
BJ0602,0,0,0,8810.2620214544,0,0,0
BJ0603,0,0,0,7960.9548355440775,0,0,23979.857717425315
BJ0703,0,0,0,0,0,4283.718324537946,29976.777734115956
BJ0904,0,0,0,21356.065551804397,0,5568.310916202641,30999.9614555077
BJ1004,0,0,0,0,0,0,1809.987302522055
BJ1008,0,0,0,0,8155.74118944453,0,0
BJ1009,0,0,0,0,0,0,5273.352512337984
BJ1101,0,0,0,0,0,0,6539.676750446468
BJ1207,0,0,0,10166.71208091753,0,0,2930.006185991814
BJ1208,0,0,134.9453786764057,31630.350835858197,0,4917.970501663757,5554.947027274223
